file_path,argument,start,end
/data/ephemeral/home/Dongjin/level2-objectdetection-cv-07/timm/Dongjin/1011_model_search/main.py,/data/ephemeral/home/Dongjin/level2-objectdetection-cv-07/timm/Dongjin/1011_model_search/config/exp1.json,24/10/13 23:52:00,24/10/14 03:40:47
/data/ephemeral/home/Dongjin/level2-objectdetection-cv-07/timm/Dongjin/1011_model_search/main.py,/data/ephemeral/home/Dongjin/level2-objectdetection-cv-07/timm/Dongjin/1011_model_search/config/exp2.json,24/10/14 03:40:48,24/10/14 07:26:48
/data/ephemeral/home/Dongjin/level2-objectdetection-cv-07/timm/Dongjin/1011_model_search/main.py,/data/ephemeral/home/Dongjin/level2-objectdetection-cv-07/timm/Dongjin/1011_model_search/config/exp3.json,24/10/14 07:26:49,24/10/14 11:16:16
/data/ephemeral/home/Dongjin/level2-objectdetection-cv-07/timm/Dongjin/1011_model_search/main.py,/data/ephemeral/home/Dongjin/level2-objectdetection-cv-07/timm/Dongjin/1011_model_search/config/exp4.json,24/10/14 11:16:17,24/10/14 15:07:33
/data/ephemeral/home/Dongjin/level2-objectdetection-cv-07/timm/Dongjin/1011_model_search/main.py,/data/ephemeral/home/Dongjin/level2-objectdetection-cv-07/timm/Dongjin/1011_model_search/config/exp5.json,24/10/14 15:07:34,24/10/14 18:57:48
/data/ephemeral/home/Dongjin/level2-objectdetection-cv-07/timm/Dongjin/1011_model_search/main.py,/data/ephemeral/home/Dongjin/level2-objectdetection-cv-07/timm/Dongjin/1011_model_search/config/exp6.json,24/10/14 18:57:49,24/10/14 20:24:31
/data/ephemeral/home/Dongjin/level2-objectdetection-cv-07/timm/Dongjin/1011_model_search/main.py,/data/ephemeral/home/Dongjin/level2-objectdetection-cv-07/timm/Dongjin/1011_model_search/config/exp7.json,24/10/14 20:24:32,
/data/ephemeral/home/Dongjin/level2-objectdetection-cv-07/timm/Dongjin/1011_model_search/main.py,/data/ephemeral/home/Dongjin/level2-objectdetection-cv-07/timm/Dongjin/1011_model_search/config/exp8.json,,
/data/ephemeral/home/Dongjin/level2-objectdetection-cv-07/timm/Dongjin/1011_model_search/main.py,/data/ephemeral/home/Dongjin/level2-objectdetection-cv-07/timm/Dongjin/1011_model_search/config/exp9.json,,
/data/ephemeral/home/Dongjin/level2-objectdetection-cv-07/timm/Dongjin/1011_model_search/main.py,/data/ephemeral/home/Dongjin/level2-objectdetection-cv-07/timm/Dongjin/1011_model_search/config/exp10.json,,
/data/ephemeral/home/Dongjin/level2-objectdetection-cv-07/timm/Dongjin/1011_model_search/main.py,/data/ephemeral/home/Dongjin/level2-objectdetection-cv-07/timm/Dongjin/1011_model_search/config/exp11.json,,
/data/ephemeral/home/Dongjin/level2-objectdetection-cv-07/timm/Dongjin/1011_model_search/main.py,/data/ephemeral/home/Dongjin/level2-objectdetection-cv-07/timm/Dongjin/1011_model_search/config/exp12.json,,
