PredictionString,image_id
1 0.74902 12.92 315.34 245.50 613.21 3 0.74576 541.24 711.13 614.57 833.61 3 0.73534 540.88 661.34 617.66 833.74 0 0.73223 300.89 207.82 558.69 540.95 0 0.73183 557.51 136.78 938.55 564.22 5 0.70605 928.99 218.53 1021.99 310.39 5 0.67965 507.05 392.12 668.96 668.66 3 0.62819 248.15 441.95 367.01 517.69 2 0.60574 590.76 345.81 807.60 622.30 4 0.37503 248.53 442.17 366.89 517.51 5 0.30842 248.47 442.25 367.36 517.54 5 0.25949 590.72 345.84 807.79 622.25 3 0.18609 928.99 218.69 1022.12 310.94 1 0.17565 590.62 345.88 807.51 622.12 0 0.16690 591.08 345.67 808.00 622.54 4 0.16087 929.00 218.61 1021.94 310.47 5 0.15833 592.07 391.28 697.65 621.70 3 0.15783 540.35 651.49 663.11 833.81 5 0.15427 532.80 391.09 661.65 611.76 2 0.14911 592.09 391.40 697.86 621.86 3 0.14876 507.13 392.30 671.17 669.45 5 0.14769 506.50 393.09 664.45 831.41 3 0.14715 590.60 345.89 807.45 622.10 5 0.14663 526.36 390.54 657.02 549.21 0 0.14662 422.51 137.98 941.14 596.15 6 0.14593 590.62 345.88 807.51 622.12 0 0.14544 317.23 140.80 938.81 564.23 5 0.14509 512.58 347.40 811.45 643.20 0 0.14190 559.24 250.53 897.09 604.80 8 0.14104 541.35 710.92 614.69 833.47 0 0.13364 248.43 442.30 367.65 517.56 2 0.13296 507.05 392.18 670.87 669.41 5 0.12965 540.79 661.27 617.67 833.64 5 0.12502 555.48 136.89 938.18 563.89 0 0.12432 592.08 391.34 697.76 621.78 4 0.12246 541.35 710.92 614.69 833.47 5 0.11727 553.79 412.71 694.96 667.89 5 0.11466 559.33 406.21 658.11 660.93 5 0.11299 521.29 352.31 699.47 621.71 1 0.11254 557.52 136.78 938.55 564.22 7 0.11193 557.82 137.24 938.51 564.72 0 0.11126 507.08 392.22 670.97 669.42 1 0.10925 300.93 207.82 558.70 540.95 0 0.10901 835.69 245.87 875.85 340.10 2 0.10756 517.26 346.36 817.86 637.97 7 0.10656 590.89 345.89 807.26 621.81 6 0.10616 507.09 392.03 671.04 668.86 5 0.10354 300.89 207.82 558.69 540.95 5 0.10297 589.83 396.99 672.25 663.84 7 0.10239 507.09 394.82 670.73 669.48 2 0.10213 540.79 661.27 617.67 833.64 8 0.09967 248.29 442.04 366.95 517.62 0 0.09904 929.01 218.54 1022.04 310.45 9 0.09821 301.39 208.09 558.09 540.84 0 0.09792 626.75 425.69 699.05 620.01 7 0.09711 301.42 208.01 558.21 540.90 3 0.09706 300.82 207.81 558.67 540.96 1 0.09703 16.92 452.22 231.95 613.12 0 0.09466 540.79 661.27 617.67 833.64 0 0.09450 593.03 661.29 617.33 683.11 5 0.09421 541.35 710.92 614.69 833.47 3 0.09226 519.76 654.65 628.17 836.70 2 0.09203 623.67 397.52 697.93 621.86 9 0.09164 590.85 345.72 807.79 622.46 6 0.09112 557.57 136.93 939.10 563.62 6 0.08888 300.99 208.05 558.72 541.01 0 0.08878 526.77 222.83 885.42 617.64 1 0.08826 507.08 392.22 670.97 669.42 4 0.08803 507.08 392.38 669.02 669.27 7 0.08787 592.07 391.30 697.69 621.73 0 0.08753 586.99 345.93 904.51 596.70 4 0.08726 540.79 661.27 617.67 833.64 3 0.08688 593.03 661.29 617.33 683.11 6 0.08666 928.96 218.56 1021.97 310.59 9 0.08544 557.64 136.93 939.07 563.65 9 0.08510 541.35 710.92 614.69 833.47 0 0.08497 12.91 315.34 245.49 613.20 2 0.08478 541.35 710.92 614.69 833.47 3 0.08453 557.63 136.80 938.55 564.20 1 0.08428 592.08 391.33 697.75 621.77 5 0.08385 626.75 425.69 699.05 620.01 7 0.08341 12.91 315.34 245.49 613.20 8 0.08288 540.79 661.27 617.67 833.64 2 0.08236 591.95 393.73 765.94 648.34 1 0.08216 541.35 710.92 614.69 833.47 1 0.08146 513.99 347.35 812.00 643.91 0 0.07987 687.11 139.13 941.46 562.82 0 0.07881 516.14 346.48 816.99 638.13 1 0.07835 540.79 661.27 617.67 833.64 0 0.07833 541.35 710.92 614.69 833.47 2 0.07800 12.91 315.34 245.49 613.21 2 0.07800 928.96 218.56 1021.98 310.60 5 0.07602 925.40 220.45 996.60 316.12 7 0.07489 540.79 661.27 617.67 833.64 0 0.07457 582.78 230.28 923.89 462.20 2 0.07443 300.97 208.05 558.71 541.01 7 0.07415 928.98 218.66 1022.00 310.77 3 0.07305 592.13 391.57 698.18 622.08 2 0.07223 557.58 136.79 938.55 564.21 0 0.07081 769.66 139.05 939.01 561.23 7 0.06875 505.42 347.68 808.69 639.62 5 0.06811 930.38 219.28 999.83 299.42 5 0.06789 948.75 219.01 1018.55 302.97 1 0.06753 80.88 454.98 223.91 608.09 1 0.06636 623.67 397.52 697.93 621.86 3 0.06629 591.44 660.46 619.28 727.95 2 0.06478 586.99 345.93 904.51 596.70 9 0.06422 247.91 442.05 367.90 517.79 3 0.06401 13.15 315.52 246.57 613.17 5 0.06391 480.88 459.47 642.51 676.33 9 0.06378 540.79 661.27 617.67 833.64 0 0.06378 301.92 208.16 516.60 459.13 7 0.06376 626.75 425.69 699.05 620.01 3 0.06354 506.50 393.09 664.45 831.41 7 0.06299 554.12 394.68 664.65 642.58 6 0.06296 13.34 315.38 245.64 613.42 7 0.06267 541.35 710.92 614.69 833.47 1 0.06133 928.89 218.51 1021.33 309.88 5 0.06121 934.50 219.01 1015.64 285.91 0 0.05998 80.88 454.98 223.91 608.09 7 0.05886 592.68 661.64 617.74 683.20 1 0.05826 17.63 315.51 246.18 514.76 0 0.05818 730.57 138.42 936.06 458.14 0 0.05640 707.91 343.70 906.41 562.64 4 0.05623 301.79 207.89 558.94 540.91 5 0.05590 966.54 218.62 1022.21 301.55 5 0.05522 929.86 218.97 980.09 291.66 0 0.05499 507.61 384.35 706.90 626.62 7 0.05450 507.61 384.35 706.90 626.62 0 0.05404 832.51 245.82 936.59 456.67 5 0.05336 502.39 396.89 626.81 664.84 5 0.05325 930.47 218.27 1001.16 254.00 5 0.05298 924.71 183.29 1024.00 318.66 1 0.05292 507.61 384.35 706.90 626.62 0 0.05284 16.92 452.22 231.95 613.12 5 0.05234 942.32 232.03 1000.74 301.73 ,train/0056.jpg
1 0.74817 248.80 34.81 716.33 341.34 0 0.74190 310.28 441.38 978.18 908.09 1 0.09067 310.27 441.38 978.17 908.09 0 0.08852 248.78 34.82 716.30 341.31 9 0.08803 310.26 441.38 978.16 908.09 3 0.08167 249.13 34.83 716.23 341.42 2 0.07749 248.79 34.81 716.32 341.33 3 0.06849 310.26 441.38 978.15 908.09 5 0.06734 310.18 441.37 978.06 908.08 7 0.06439 310.29 441.38 978.19 908.09 6 0.06225 248.81 34.80 716.35 341.36 7 0.06223 248.83 34.79 716.39 341.39 6 0.06173 310.25 441.38 978.15 908.09 2 0.05483 310.28 441.38 978.18 908.09 ,train/0057.jpg
3 0.50063 301.94 123.64 822.64 772.83 0 0.25178 301.89 123.67 822.10 772.91 5 0.22484 301.92 122.84 822.87 772.98 9 0.20734 301.73 123.63 821.83 772.56 7 0.15594 301.93 122.85 822.88 772.98 3 0.11148 667.14 566.90 709.74 618.17 1 0.06547 301.94 123.51 822.11 772.76 4 0.06491 301.70 121.91 821.91 772.73 2 0.06201 301.73 124.18 822.06 773.37 ,train/0058.jpg
3 0.79672 282.32 428.17 759.09 720.60 8 0.10983 282.30 428.16 759.06 720.61 2 0.10058 282.29 428.15 759.03 720.61 0 0.09914 282.30 428.16 759.05 720.61 5 0.09622 282.34 428.19 759.13 720.60 1 0.08953 282.33 428.18 759.11 720.60 9 0.07687 282.30 428.16 759.06 720.61 7 0.07259 282.92 428.24 759.04 721.13 4 0.06108 282.33 428.18 759.11 720.60 3 0.05497 214.60 371.67 726.99 720.50 ,train/0059.jpg
5 0.76247 357.68 487.98 651.84 765.06 0 0.09842 357.67 487.98 651.81 765.08 2 0.09487 357.71 487.99 651.92 765.01 6 0.08862 357.68 487.98 651.84 765.06 7 0.08567 357.71 487.99 651.91 765.02 3 0.07105 357.66 487.98 651.78 765.09 4 0.07015 357.67 487.98 651.79 765.09 1 0.06506 357.69 487.99 651.87 765.04 0 0.05789 756.30 480.94 807.67 554.38 ,train/0060.jpg
3 0.78832 263.27 334.48 799.50 789.34 5 0.16145 263.26 334.52 799.48 789.35 0 0.09830 263.27 334.50 799.49 789.34 8 0.08895 263.05 334.40 799.68 789.35 7 0.08028 263.26 334.52 799.48 789.34 1 0.07897 263.27 334.49 799.50 789.34 3 0.07769 679.56 237.09 728.76 302.08 2 0.07761 263.27 334.50 799.49 789.34 9 0.07441 263.28 334.44 799.53 789.33 3 0.07414 261.12 326.60 623.14 785.54 0 0.06955 679.56 237.09 728.76 302.08 4 0.06088 263.27 334.51 799.49 789.34 0 0.06001 943.20 475.75 1013.49 580.84 ,train/0061.jpg
7 0.77307 308.50 162.54 799.35 502.41 1 0.76130 63.06 517.20 608.49 924.73 7 0.75663 93.88 335.57 455.43 610.15 7 0.75231 492.78 698.24 687.40 933.64 1 0.67227 593.97 424.58 878.73 547.64 1 0.66639 170.19 686.19 477.26 843.30 1 0.65324 542.34 504.05 691.08 575.15 6 0.64929 0.47 404.23 225.68 928.12 1 0.63610 406.30 429.30 898.02 739.94 1 0.60213 603.65 489.90 897.50 655.13 5 0.59809 348.67 602.91 413.29 643.82 1 0.58946 501.14 425.87 760.81 539.34 4 0.58064 167.86 696.78 399.47 754.49 1 0.57254 566.12 379.16 669.01 480.64 1 0.50376 429.59 489.11 896.25 740.82 3 0.49792 638.62 335.96 741.15 463.14 1 0.45080 239.99 640.15 517.43 713.30 1 0.42599 659.67 534.32 786.83 576.86 1 0.40428 603.32 539.11 693.11 577.89 1 0.38727 473.49 378.91 670.17 523.67 1 0.38395 0.23 403.52 226.28 927.99 1 0.36487 474.10 411.59 896.01 662.34 1 0.36320 596.29 425.82 760.28 510.76 4 0.35740 348.64 603.33 413.47 643.95 1 0.34895 662.27 548.58 772.07 576.57 2 0.34093 393.17 657.09 479.28 714.03 1 0.32583 639.58 435.95 825.57 548.72 1 0.32002 603.17 535.36 783.32 580.70 1 0.31977 664.11 425.91 840.96 546.67 1 0.31120 634.31 554.54 747.31 654.69 1 0.30631 602.58 559.76 666.79 595.69 0 0.30106 741.37 652.83 787.69 690.99 1 0.30104 751.90 447.02 892.27 541.15 1 0.29412 602.22 428.84 893.85 659.82 1 0.29393 500.91 443.53 703.02 537.91 5 0.29354 637.54 336.02 741.10 462.96 1 0.29238 551.65 380.52 697.78 485.65 1 0.28785 539.66 427.01 759.94 516.34 1 0.28267 405.05 496.97 627.58 709.15 1 0.27852 807.90 451.05 891.32 536.00 1 0.27775 603.58 557.48 667.78 584.34 0 0.27702 0.19 403.50 226.09 928.36 5 0.27289 167.95 696.52 399.51 754.42 0 0.27135 812.77 453.14 892.07 536.06 1 0.27132 393.36 656.76 479.30 713.99 3 0.26876 348.68 603.11 413.37 643.73 1 0.26875 717.41 425.10 876.46 542.85 1 0.26669 539.75 459.88 607.48 487.34 2 0.26032 171.02 686.20 477.14 843.47 0 0.25779 637.87 336.04 741.13 462.73 1 0.25599 688.30 533.91 784.80 552.05 1 0.25379 604.79 558.64 665.17 579.23 1 0.24877 733.49 426.70 892.89 540.55 1 0.24523 521.12 378.53 744.14 509.14 1 0.23929 533.92 384.09 666.85 497.14 1 0.23906 567.00 379.60 738.54 475.48 1 0.23811 675.95 534.01 784.49 561.91 2 0.23351 240.30 640.48 517.51 712.46 1 0.23271 609.22 549.73 883.54 740.79 1 0.23234 600.83 539.17 696.06 592.42 1 0.22699 473.26 397.91 635.41 518.67 1 0.22217 602.34 569.27 662.87 596.01 1 0.22171 713.76 534.66 789.64 551.88 0 0.22088 541.25 460.17 606.61 485.87 1 0.21869 473.62 445.25 640.44 531.79 1 0.21826 472.83 433.75 612.83 519.48 1 0.21529 605.11 533.66 832.98 655.04 1 0.21050 612.30 539.45 692.60 566.97 1 0.20853 560.74 336.46 743.69 480.61 5 0.20788 240.15 640.33 517.39 712.38 1 0.20709 635.50 559.40 739.63 605.02 1 0.20635 499.69 459.17 609.84 530.95 5 0.20605 392.82 657.71 479.25 714.12 1 0.20522 632.79 546.89 790.81 654.38 0 0.20490 604.79 558.64 665.17 579.23 1 0.20300 516.15 421.54 694.92 515.43 1 0.20201 602.31 572.94 652.89 597.02 0 0.20143 741.40 644.72 789.66 690.99 9 0.19988 0.36 404.03 225.67 928.02 0 0.19959 604.94 541.32 691.43 577.22 1 0.19921 599.39 435.72 755.80 545.75 9 0.19768 637.91 336.03 741.13 462.75 1 0.19767 610.38 439.61 826.03 516.60 1 0.19706 662.67 551.43 753.31 578.23 0 0.19608 240.25 640.42 517.47 712.43 1 0.19577 741.37 652.83 787.69 690.99 1 0.19451 502.09 461.26 660.18 540.38 0 0.19416 393.32 656.83 479.30 714.00 1 0.19344 559.93 411.02 587.04 465.94 6 0.19324 171.12 686.15 477.13 843.79 6 0.19046 637.99 336.02 741.14 462.80 1 0.18670 562.00 403.23 614.98 467.54 1 0.18647 573.38 401.07 617.59 466.00 1 0.18503 557.07 383.77 763.67 508.56 7 0.18399 0.00 403.42 225.60 927.68 1 0.18084 576.58 403.82 660.89 471.88 2 0.17910 391.88 646.85 510.11 713.45 7 0.17720 240.73 640.17 517.52 713.03 1 0.17696 556.66 506.06 823.45 654.75 1 0.17235 559.40 404.31 598.54 465.89 1 0.16956 492.04 367.98 745.83 531.26 1 0.16835 605.10 464.75 897.46 741.64 1 0.16819 534.37 439.43 701.52 513.42 1 0.16576 636.99 336.36 741.33 463.89 1 0.16479 601.86 550.00 676.47 582.00 1 0.16379 729.15 534.72 790.58 549.66 2 0.16327 637.50 336.12 740.99 463.46 1 0.16268 473.34 437.88 566.56 515.56 3 0.16213 168.90 696.50 400.56 754.46 1 0.15984 517.33 458.95 609.12 505.61 1 0.15918 660.67 554.83 740.87 579.67 1 0.15821 480.77 391.03 701.18 533.23 1 0.15720 646.44 646.88 669.00 666.67 1 0.15492 602.66 454.43 703.31 507.28 0 0.15486 757.80 453.02 892.74 541.31 6 0.15461 239.85 640.01 517.35 713.40 7 0.15283 741.40 644.72 789.66 690.99 6 0.15228 392.82 657.72 479.25 714.12 1 0.15143 392.15 644.32 514.41 713.02 7 0.15100 541.25 460.17 606.61 485.87 1 0.15035 603.99 552.65 754.03 654.22 2 0.14945 403.88 655.79 479.81 691.55 0 0.14824 661.84 549.39 769.24 577.11 0 0.14615 602.76 559.97 666.23 594.93 1 0.14602 670.01 531.47 774.47 551.02 6 0.14573 59.80 535.62 594.87 924.30 0 0.14428 602.31 572.94 652.89 597.02 1 0.14148 470.67 440.39 673.96 704.35 0 0.14013 715.93 534.73 789.60 552.87 5 0.13970 741.37 652.83 787.69 690.99 1 0.13831 567.15 408.23 612.03 484.85 0 0.13815 603.58 557.48 667.78 584.34 1 0.13754 497.88 459.60 707.91 576.22 5 0.13736 171.12 686.15 477.13 843.79 2 0.13697 602.08 560.02 666.65 597.08 0 0.13697 391.88 646.85 510.11 713.45 7 0.13696 741.37 652.83 787.69 690.99 1 0.13572 345.89 640.89 513.78 711.32 1 0.13391 315.39 645.84 483.10 714.27 1 0.13242 705.64 549.75 771.61 573.08 1 0.13003 595.34 460.48 694.16 507.82 1 0.12928 627.26 535.98 777.90 567.11 1 0.12884 479.46 359.15 894.85 561.50 1 0.12881 640.51 553.30 750.93 586.99 ,train/0062.jpg
2 0.76403 310.99 382.98 582.21 715.68 2 0.75643 311.91 216.22 782.29 558.89 0 0.14995 533.42 511.50 604.12 567.81 1 0.13540 312.01 215.73 782.29 558.67 1 0.13328 310.98 382.97 582.21 715.68 0 0.12545 311.08 383.07 582.21 715.64 0 0.12058 556.98 512.79 604.27 568.00 9 0.11016 311.09 383.07 582.21 715.63 9 0.10333 311.96 216.19 782.38 558.95 0 0.09848 311.96 216.19 782.38 558.96 6 0.09715 311.05 383.04 582.21 715.65 6 0.09647 311.52 216.33 782.24 558.65 5 0.09529 311.50 216.34 782.18 558.61 3 0.09432 311.89 216.23 782.24 558.85 3 0.09365 310.95 382.95 582.21 715.69 5 0.08996 310.99 382.98 582.21 715.68 7 0.08964 533.46 511.52 604.11 567.80 0 0.07748 224.14 463.60 316.30 600.85 7 0.07298 311.04 383.03 582.21 715.66 7 0.07261 311.92 216.22 782.30 558.90 7 0.06978 556.98 512.79 604.27 568.00 2 0.06816 315.71 562.33 580.98 716.02 9 0.06516 531.22 510.94 604.44 567.75 7 0.06515 223.93 463.07 316.57 600.49 9 0.05821 553.29 511.63 604.21 567.79 5 0.05613 532.75 511.25 604.22 567.87 1 0.05575 553.29 511.63 604.21 567.79 1 0.05289 531.22 510.94 604.44 567.75 7 0.05054 690.11 199.37 774.32 246.51 ,train/0063.jpg
3 0.79532 241.61 240.77 658.73 542.55 5 0.12393 241.66 240.75 658.80 542.56 8 0.11611 241.53 240.87 658.68 542.56 0 0.11451 241.58 240.87 658.75 542.56 9 0.09113 241.58 240.78 658.69 542.55 7 0.08484 241.57 240.78 658.69 542.55 1 0.07661 241.59 240.77 658.70 542.55 2 0.07260 241.54 240.87 658.69 542.56 4 0.07055 241.59 240.77 658.70 542.55 3 0.05411 242.87 241.30 452.80 454.46 ,train/0064.jpg
6 0.73697 418.63 99.79 934.27 436.89 7 0.72860 458.94 481.70 640.25 578.99 0 0.70470 0.16 0.00 472.77 885.02 6 0.66218 199.70 364.85 829.45 753.57 6 0.65390 197.28 635.92 652.86 814.56 0 0.64537 116.85 0.27 433.05 393.70 0 0.56999 374.71 582.37 743.74 684.22 5 0.40579 131.84 650.82 219.35 723.79 6 0.39324 201.24 100.71 931.99 806.45 7 0.36777 117.09 0.00 432.48 392.85 0 0.31461 398.30 676.93 590.59 737.02 0 0.26177 398.52 675.75 651.11 749.53 0 0.23663 411.16 700.77 587.72 734.47 6 0.23164 361.76 363.28 827.26 672.18 0 0.21127 857.68 134.06 903.00 142.88 6 0.19929 286.54 574.81 761.47 752.76 6 0.19576 271.63 636.63 651.08 752.92 0 0.19243 1.46 515.43 193.31 886.00 0 0.18776 114.75 0.04 467.39 660.15 6 0.18454 374.78 582.48 744.01 684.27 0 0.18161 402.56 695.71 645.63 747.38 7 0.17679 132.01 650.74 219.46 723.73 0 0.16707 398.69 695.10 601.46 739.43 5 0.16602 174.09 650.15 219.67 711.51 0 0.16320 131.95 650.88 219.22 723.74 0 0.15665 199.71 364.85 829.47 753.55 6 0.14584 198.71 691.31 651.66 814.97 9 0.14526 0.15 0.00 472.72 884.91 5 0.14024 179.22 681.57 219.81 711.97 6 0.13717 131.95 650.88 219.22 723.74 9 0.13622 116.79 0.00 432.81 393.17 6 0.13486 364.96 103.72 933.57 657.27 0 0.13412 0.00 6.73 440.57 669.17 6 0.13382 375.67 583.53 748.27 751.84 0 0.13242 119.89 1.97 432.42 267.34 0 0.13056 458.73 481.84 640.31 578.60 7 0.12967 494.51 551.58 636.92 600.49 7 0.12917 0.15 0.00 470.09 884.02 3 0.12910 131.90 650.85 219.29 723.76 6 0.12690 399.20 676.03 650.25 749.37 9 0.12670 374.62 582.34 743.72 684.23 6 0.12507 398.59 674.87 589.65 737.32 0 0.12467 271.63 636.63 651.08 752.92 0 0.12327 494.51 552.83 636.53 600.15 8 0.12244 419.54 99.80 934.92 437.04 9 0.12238 197.32 635.91 652.87 814.55 9 0.12205 419.46 99.78 934.93 437.02 0 0.12170 197.32 635.91 652.87 814.55 5 0.12053 374.94 582.61 743.82 684.21 0 0.12025 375.50 582.70 747.66 752.01 0 0.11977 419.43 99.77 934.94 437.02 0 0.11929 397.29 673.24 578.79 721.09 7 0.11911 114.75 0.04 467.39 660.15 0 0.11790 494.90 555.17 599.07 598.67 5 0.11663 0.14 0.00 472.71 884.88 6 0.11452 359.75 100.86 936.79 552.60 6 0.11365 198.59 636.18 646.68 743.98 9 0.11183 199.69 364.84 829.42 753.60 0 0.11144 144.74 332.41 272.93 652.80 7 0.11104 374.64 582.42 743.96 684.28 0 0.11084 116.51 0.38 287.09 392.64 3 0.10884 0.15 0.00 472.72 884.90 0 0.10826 286.08 669.25 602.26 738.61 0 0.10776 456.01 705.48 589.67 736.01 5 0.10568 130.73 652.62 187.84 724.99 5 0.10148 199.71 364.85 829.45 753.57 7 0.10081 494.78 553.32 599.08 599.24 5 0.10008 117.62 0.21 433.06 394.48 8 0.09725 199.72 364.85 829.47 753.55 5 0.09581 418.86 99.83 934.31 436.93 0 0.09575 178.07 661.60 219.42 713.51 1 0.09571 197.43 635.87 652.91 814.54 5 0.09525 197.35 635.90 652.88 814.55 6 0.09347 390.62 394.64 828.11 753.06 5 0.09316 398.59 674.87 589.65 737.32 1 0.09176 418.56 99.78 934.26 436.87 7 0.09104 398.59 674.87 589.65 737.32 0 0.09058 134.39 520.45 218.66 722.83 7 0.09014 459.15 540.06 638.86 600.34 7 0.08990 399.20 676.03 650.25 749.37 0 0.08960 0.04 5.97 234.60 886.41 1 0.08954 131.90 650.85 219.28 723.76 1 0.08802 116.87 0.23 432.79 393.62 5 0.08797 399.20 676.03 650.25 749.37 1 0.08741 372.86 581.69 743.32 684.34 0 0.08720 198.59 636.18 646.68 743.98 1 0.08609 199.69 364.84 829.43 753.59 2 0.08523 419.28 99.64 935.77 437.02 7 0.08448 412.79 701.01 588.79 735.04 9 0.08247 132.08 650.95 219.06 723.67 0 0.08211 203.18 101.93 924.92 808.93 0 0.08161 3.46 0.00 306.66 898.05 1 0.08150 0.15 0.00 472.76 884.98 0 0.07976 153.13 392.68 470.89 652.23 8 0.07950 197.20 635.95 652.83 814.58 0 0.07943 286.84 663.16 400.11 702.00 0 0.07940 361.76 363.28 827.26 672.18 7 0.07938 460.87 480.82 638.83 548.84 7 0.07857 116.51 0.38 287.09 392.64 6 0.07845 0.16 0.00 472.78 885.04 0 0.07831 36.95 78.05 470.64 680.78 0 0.07777 857.35 133.29 910.50 144.66 7 0.07750 119.89 1.97 432.42 267.34 7 0.07739 857.68 134.06 903.00 142.88 0 0.07722 459.15 540.06 638.86 600.34 9 0.07692 458.02 481.57 640.16 577.56 0 0.07691 305.67 556.40 787.22 752.32 9 0.07684 398.59 674.87 589.65 737.32 0 0.07625 276.72 637.94 398.71 700.81 0 0.07599 179.22 681.57 219.81 711.97 5 0.07594 178.07 661.60 219.42 713.51 6 0.07519 200.00 566.23 733.80 777.03 5 0.07515 459.16 482.05 640.16 578.73 2 0.07468 199.70 364.85 829.45 753.57 3 0.07416 372.86 581.69 743.32 684.34 5 0.07413 181.29 648.32 219.76 702.31 5 0.07387 172.25 683.69 219.63 718.50 7 0.07318 401.17 694.60 624.98 743.16 0 0.07302 371.48 582.61 646.44 678.50 0 0.07300 378.80 584.24 740.76 656.64 0 0.07210 2.87 505.63 191.81 755.46 7 0.07198 174.09 650.15 219.67 711.51 0 0.07192 274.68 609.04 742.11 752.70 7 0.07192 198.56 635.46 653.33 814.33 0 0.07182 152.50 348.23 238.19 654.59 4 0.07142 200.00 364.92 830.09 752.99 4 0.07133 420.84 100.12 934.66 437.34 7 0.07130 130.73 652.62 187.84 724.99 0 0.07022 186.75 329.64 273.00 394.48 0 0.07019 131.38 651.54 194.48 722.65 0 0.06998 150.97 509.38 220.96 653.45 0 0.06947 131.96 520.85 194.10 722.35 0 0.06876 154.42 311.30 306.51 653.45 0 0.06862 138.04 370.67 254.25 703.21 5 0.06752 114.75 0.04 467.39 660.15 7 0.06727 199.38 364.77 828.75 754.20 2 0.06657 195.93 636.41 652.36 814.81 0 0.06630 188.64 664.50 219.17 712.58 7 0.06621 121.22 0.72 336.04 382.82 1 0.06576 199.50 100.36 930.48 812.52 6 0.06528 396.02 693.86 649.89 749.08 ,train/0065.jpg
